id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xG_chain,xG_buildup
7201,Fethi Harek,2,179,0,0,0,0,0,0,1,0,D,Nimes,0,0,0.08239370584487915,0.08239370584487915
227,Robert Lewandowski,14,1249,10,13.7651881352067,4,3.9200099855661392,60,21,0,0,F,Bayern Munich,8,12.249795600771904,16.452594205737114,3.7080777678638697
224,Thomas M x5Cu00fcller,14,1060,4,3.220071606338024,2,2.9355023577809334,28,23,1,0,MS,Bayern Munich,4,3.220071606338024,7.752329520881176,4.465295031666756
993,Serge Gnabry,13,740,4,2.656701162457466,2,2.2367888540029526,24,9,0,0,FMS,Bayern Munich,4,2.656701162457466,6.440964236855507,2.382761435583234
392,Arjen Robben,9,542,3,2.263741599395871,0,1.7628482021391392,16,15,0,1,FMS,Bayern Munich,3,2.263741599395871,5.2712733298540115,1.8241246193647385
2249,James Rodr x5Cu00edguez,8,470,3,3.874816132709384,0,0.8027492295950651,17,17,1,0,MS,Bayern Munich,3,3.874816132709384,5.049497693777084,1.339112201705575
335,Leon Goretzka,13,842,2,1.5432683061808348,1,1.5367644280195236,18,10,1,0,DMS,Bayern Munich,2,1.5432683061808348,6.615012958645821,4.22350662201643
75,Niklas S x5Cu00fcle,14,1193,1,0.7187359342351556,0,0.22026253305375576,10,5,1,0,DS,Bayern Munich,1,0.7187359342351556,4.784531868994236,4.302809692919254
223,Joshua Kimmich,15,1350,1,0.7061917036771774,6,5.479891080409288,11,37,1,0,DM,Bayern Munich,1,0.7061917036771774,9.759168423712254,6.991330606862903
229,Thiago Alc x5Cu00e1ntara,12,862,1,0.9987254161387682,1,0.9059668276458979,12,10,3,0,MS,Bayern Munich,1,0.9987254161387682,7.424494866281748,5.997394412755966
329,Franck Rib x5Cu00e9ry,12,733,1,1.3590486962348223,0,0.9925094489008188,18,11,2,0,MS,Bayern Munich,1,1.3590486962348223,5.794986242428422,4.238917587324977
391,David Alaba,15,1124,1,0.8882008362561464,0,1.8381092622876167,23,10,2,0,DS,Bayern Munich,1,0.8882008362561464,7.535012967884541,5.589984025806189
3603,Corentin Tolisso,2,51,1,0.0749659463763237,0,0.10988381318747997,1,2,0,0,MS,Bayern Munich,1,0.0749659463763237,0.21324323862791061,0.02839347906410694
11,Sandro Wagner,6,133,0,0.4441746771335602,0,0.06019612401723862,3,1,2,0,FS,Bayern Munich,0,0.4441746771335602,0.9934881553053856,0.4891173541545868
217,Manuel Neuer,15,1350,0,0,0,0,0,0,1,0,GK,Bayern Munich,0,0,2.5493018105626106,2.5493018105626106
220,J x5Cu00e9r x5Cu00f4me Boateng,10,900,0,0.5432562697678804,1,0.6243628244847059,11,6,0,0,D,Bayern Munich,0,0.5432562697678804,5.053442440927029,4.996839798986912
221,Rafinha,8,431,0,0.04110902547836304,1,0.7697767913341522,2,4,1,0,DS,Bayern Munich,0,0.04110902547836304,1.793450629338622,1.634806727990508
225,Javi Mart x5Cu00ednez,8,549,0,0.12983467429876328,0,0.15624456852674484,4,3,1,0,MS,Bayern Munich,0,0.12983467429876328,1.326140247285366,1.169141173362732
226,Kingsley Coman,4,202,0,1.2134298235177994,0,0.9407128989696503,4,6,0,0,MS,Bayern Munich,0,1.2134298235177994,2.379726141691208,0.3850959502160549
373,Mats Hummels,8,608,0,0.2147273700684309,1,0.31189761124551296,4,4,0,0,DS,Bayern Munich,0,0.2147273700684309,3.853207916021347,3.456132508814335
5228,Renato Sanches,10,431,0,0.5733769871294498,0,0.32916567474603653,13,6,1,0,MS,Bayern Munich,0,0.5733769871294498,3.307834453880787,2.6336973905563354
426,Daniel Ginczek,15,801,5,2.8705075457692146,1,0.5608394565060735,29,6,3,0,FS,Wolfsburg,5,2.8705075457692146,4.605841217562556,2.1677593663334846
7052,Wout Weghorst,15,1233,5,5.615150645375252,2,1.1459736991673708,30,15,4,0,FS,Wolfsburg,3,4.099597290158272,5.805148484185338,1.499816671013832
194,Admir Mehmedi,9,477,3,1.0643273843452334,2,1.050422526896,9,10,1,0,FMS,Wolfsburg,3,1.0643273843452334,3.252606328576803,1.421384148299694
5353,Josip Brekalo,14,851,2,1.6692805234342813,1,1.0540945529937744,18,14,0,0,FMS,Wolfsburg,2,1.6692805234342813,4.270193461328745,2.2184250839054585
6484,Renato Steffen,14,634,2,1.3773559629917145,0,0.6295369677245617,12,4,2,0,FMS,Wolfsburg,2,1.3773559629917145,2.00146871060133,0.4157747346907854
22,John Brooks,14,1260,1,1.8365266937762499,1,0.5685622114688158,12,2,5,0,D,Wolfsburg,1,1.8365266937762499,3.0924856923520565,2.162402682006359
45,Yunus Malli,10,377,1,0.8414838016033173,0,0.38942777924239635,3,9,0,0,FMS,Wolfsburg,0,0.08419844508171082,0.9153098165988922,0.7087364494800568
3339,J x5Cu00e9r x5Cu00f4me Roussillon,14,1254,1,0.9647158775478601,1,1.4433331582695246,10,15,2,0,D,Wolfsburg,1,0.9647158775478601,2.960299413651228,1.808460172265768
140,Yannick Gerhardt,13,1000,0,0.9348733443766832,1,1.7969593713060021,14,11,2,0,MS,Wolfsburg,0,0.9348733443766832,4.077511381357908,1.9042021315544844
150,Josuha Guilavogui,4,227,0,0.014373437501490116,0,0.017759865149855614,1,1,1,0,MS,Wolfsburg,0,0.014373437501490116,0.1491614207625389,0.13140155468136072
153,Maximilian Arnold,15,1326,0,1.0471012499183416,2,2.2760073132812977,20,23,2,0,M,Wolfsburg,0,1.0471012499183416,3.576296640560031,1.6080567333847284
