scorer,date,goals,cumsum
Aaron Cresswell,2014-11-23,1,1
Aaron Cresswell,2015-04-05,1,2
Aaron Cresswell,2015-12-20,1,3
Aaron Cresswell,2016-04-17,1,4
Aaron Cresswell,2018-04-29,1,5
Aaron Hughes,1999-09-19,1,1
Aaron Hughes,2000-03-19,1,2
Aaron Hughes,2002-11-10,1,3
Aaron Hughes,2004-08-22,1,4
Aaron Hughes,2010-12-26,1,5
Aaron Lennon,2006-03-12,1,1
Aaron Lennon,2006-04-30,1,2
Aaron Lennon,2006-11-05,1,3
Aaron Lennon,2006-11-26,1,4
Aaron Lennon,2007-02-25,1,5
Aaron Lennon,2007-11-11,1,6
Aaron Lennon,2008-01-13,1,7
Aaron Lennon,2008-10-26,1,8
Aaron Lennon,2009-01-25,1,9
Aaron Lennon,2009-02-22,1,10
Aaron Lennon,2009-03-01,2,12
Aaron Lennon,2009-08-23,2,14
Aaron Lennon,2009-11-22,1,15
Aaron Lennon,2010-11-28,1,16
Aaron Lennon,2010-12-26,1,17
Aaron Lennon,2011-01-16,1,18
Aaron Lennon,2011-11-06,1,19
Aaron Lennon,2011-11-27,1,20
Aaron Lennon,2012-01-08,1,21
Aaron Lennon,2012-10-07,1,22
Aaron Lennon,2012-11-25,1,23
Aaron Lennon,2012-12-23,1,24
Aaron Lennon,2013-03-03,1,25
Aaron Lennon,2013-12-29,1,26
Aaron Lennon,2015-03-22,1,27
Aaron Lennon,2015-04-05,1,28
Aaron Lennon,2016-01-03,1,29
Aaron Lennon,2016-01-31,2,31
Aaron Lennon,2016-02-28,2,33
Aaron Mooy,2017-08-20,1,1
Aaron Mooy,2017-10-15,1,2
Aaron Mooy,2017-12-10,2,4
Aaron Ramsey,2009-08-16,1,1
Aaron Ramsey,2009-11-29,1,2
Aaron Ramsey,2009-12-27,1,3
Aaron Ramsey,2011-05-01,1,4
Aaron Ramsey,2011-10-02,1,5
Aaron Ramsey,2012-02-05,1,6
Aaron Ramsey,2013-05-12,1,7
Aaron Ramsey,2013-09-08,2,9
Aaron Ramsey,2013-09-22,2,11
Aaron Ramsey,2013-10-13,1,12
Aaron Ramsey,2013-10-27,1,13
Aaron Ramsey,2013-11-24,2,15
Aaron Ramsey,2014-04-20,1,16
Aaron Ramsey,2014-05-11,1,17
Aaron Ramsey,2014-08-10,1,18
Aaron Ramsey,2014-08-17,1,19
Aaron Ramsey,2014-11-30,1,20
Aaron Ramsey,2015-03-08,1,21
Aaron Ramsey,2015-04-05,1,22
Aaron Ramsey,2015-05-03,1,23
Aaron Ramsey,2015-10-11,1,24
Aaron Ramsey,2015-11-29,1,25
Aaron Ramsey,2015-12-13,1,26
Aaron Ramsey,2016-01-10,1,27
Aaron Ramsey,2016-02-28,1,28
Aaron Ramsey,2017-05-21,1,29
Aaron Ramsey,2017-08-06,1,30
Aaron Ramsey,2017-10-22,2,32
Aaron Ramsey,2018-01-28,3,35
Aaron Ramsey,2018-04-22,1,36
Aaron Wilbraham,2012-03-25,1,1
Abdoulaye Doucouré,2017-02-26,1,1
Abdoulaye Doucouré,2017-08-06,1,2
Abdoulaye Doucouré,2017-09-03,1,3
Abdoulaye Doucouré,2017-09-24,1,4
Abdoulaye Doucouré,2017-10-15,1,5
Abdoulaye Doucouré,2017-11-26,1,6
Abdoulaye Doucouré,2017-12-10,1,7
Abdoulaye Doucouré,2018-01-07,1,8
Abdoulaye Faye,2005-11-27,1,1
Abdoulaye Faye,2006-11-19,1,2
Abdoulaye Faye,2006-12-24,1,3
Abdoulaye Faye,2008-02-17,1,4
Abdoulaye Faye,2008-12-28,1,5
Abdoulaye Faye,2009-04-05,1,6
Abdoulaye Faye,2009-09-06,1,7
Abdoulaye Faye,2010-01-03,1,8
Abdoulaye Faye,2010-08-08,1,9
Abel Hernández,2014-09-14,1,1
Abel Hernández,2014-09-21,1,2
Abel Hernández,2014-10-12,1,3
Abel Hernández,2015-03-22,1,4
Abel Hernández,2016-08-14,1,5
Abel Hernández,2017-01-08,2,7
Abel Hernández,2017-04-02,1,8
Abel Xavier,2002-02-03,1,1
Abel Xavier,2007-01-14,1,2
Abou Diaby,2006-03-26,1,1
Abou Diaby,2007-03-11,1,2
Abou Diaby,2007-09-16,1,3
Abou Diaby,2008-12-21,1,4
Abou Diaby,2009-03-15,1,5
Abou Diaby,2009-05-24,1,6
Abou Diaby,2009-08-16,2,8
Abou Diaby,2009-10-11,1,9
Abou Diaby,2009-12-13,1,10
Abou Diaby,2009-12-27,1,11
Abou Diaby,2010-02-07,1,12
Abou Diaby,2010-08-15,1,13
Abou Diaby,2011-04-10,1,14
Adam Drury,2005-01-16,1,1
Adam Johnson,2006-04-30,1,1
Adam Johnson,2008-05-11,1,2
Adam Johnson,2010-03-14,1,3
Adam Johnson,2010-10-03,1,4
Adam Johnson,2010-12-05,1,5
Adam Johnson,2010-12-26,1,6
Adam Johnson,2011-04-03,1,7
Adam Johnson,2011-09-25,1,8
Adam Johnson,2011-10-09,1,9
Adam Johnson,2011-10-23,1,10
Adam Johnson,2011-11-27,1,11
Adam Johnson,2011-12-18,1,12
Adam Johnson,2012-04-08,1,13
Adam Johnson,2012-11-04,1,14
Adam Johnson,2012-12-02,1,15
Adam Johnson,2012-12-23,1,16
Adam Johnson,2013-01-06,1,17
Adam Johnson,2013-04-14,1,18
Adam Johnson,2013-12-01,1,19
Adam Johnson,2014-01-05,3,22
Adam Johnson,2014-01-12,1,23
Adam Johnson,2014-01-26,2,25
Adam Johnson,2014-03-30,1,26
Adam Johnson,2014-09-07,1,27
Adam Johnson,2014-12-21,2,29
Adam Johnson,2014-12-28,1,30
Adam Johnson,2015-10-25,1,31
Adam Johnson,2016-01-31,1,32
Adam Lallana,2012-10-14,1,1
Adam Lallana,2012-11-25,1,2
Adam Lallana,2013-03-31,1,3
Adam Lallana,2013-10-06,1,4
Adam Lallana,2013-10-13,1,5
Adam Lallana,2013-11-03,1,6
Adam Lallana,2013-12-22,1,7
Adam Lallana,2014-01-05,1,8
Adam Lallana,2014-01-26,2,10
Adam Lallana,2014-03-23,2,12
Adam Lallana,2014-09-28,1,13
Adam Lallana,2014-11-30,1,14
Adam Lallana,2014-12-28,2,16
Adam Lallana,2015-05-10,1,17
Adam Lallana,2016-01-17,1,18
Adam Lallana,2016-01-31,1,19
Adam Lallana,2016-02-28,1,20
Adam Lallana,2016-04-17,1,21
Adam Lallana,2016-08-14,1,22
Adam Lallana,2016-09-04,1,23
Adam Lallana,2016-09-18,1,24
Adam Lallana,2016-12-11,3,27
Adam Lallana,2016-12-25,1,28
Adam Lallana,2017-05-21,1,29
Adam Le Fondre,2012-08-12,1,1
Adam Le Fondre,2012-11-11,2,3
Adam Le Fondre,2012-11-25,1,4
Adam Le Fondre,2012-12-16,1,5
Adam Le Fondre,2013-01-06,1,6
Adam Le Fondre,2013-01-13,2,8
Adam Le Fondre,2013-01-27,2,10
Adam Le Fondre,2013-04-28,1,11
Adam Le Fondre,2013-05-19,1,12
Adam Smith,2015-11-22,1,1
Adam Smith,2015-12-13,1,2
Adam Smith,2016-08-14,1,3
Adam Smith,2018-02-18,1,4
Adam Tanner,1995-01-01,1,1
Adam Tanner,1995-01-08,1,2
Adama Diomandé,2016-08-07,1,1
Adama Diomandé,2016-12-04,1,2
Ade Akinbiyi,2000-09-03,1,1
Ade Akinbiyi,2000-09-24,1,2
Ade Akinbiyi,2000-11-26,1,3
Ade Akinbiyi,2000-12-10,1,4
Ade Akinbiyi,2000-12-24,1,5
Ade Akinbiyi,2001-02-18,1,6
Ade Akinbiyi,2001-02-25,1,7
Ade Akinbiyi,2001-04-01,1,8
Ade Akinbiyi,2001-04-08,1,9
Ade Akinbiyi,2001-10-28,1,10
Ade Akinbiyi,2001-11-25,1,11
Adel Taarabt,2012-03-25,1,1
Adel Taarabt,2012-04-15,1,2
Adel Taarabt,2012-09-30,2,4
Adel Taarabt,2012-12-09,2,6
Adel Taarabt,2013-03-31,1,7
Ademola Lookman,2017-01-15,1,1
Adie Mike,1993-08-29,1,1
Adlène Guédioura,2010-05-09,1,1
Adlène Guédioura,2011-05-08,1,2
Adnan Januzaj,2013-09-29,2,2
Adnan Januzaj,2013-12-15,1,3
Adnan Januzaj,2014-03-30,1,4
Adnan Januzaj,2015-08-09,1,5
Adrian Littlejohn,1992-09-06,1,1
Adrian Littlejohn,1992-09-27,1,2
Adrian Littlejohn,1992-10-25,1,3
Adrian Littlejohn,1992-11-08,1,4
Adrian Littlejohn,1992-12-06,1,5
Adrian Littlejohn,1993-01-03,1,6
Adrian Littlejohn,1993-02-21,1,7
Adrian Littlejohn,1993-03-21,1,8
Adrian Littlejohn,1993-09-05,2,10
Adrian Littlejohn,1994-04-10,1,11
Adrian Mariappa,2013-02-03,1,1
Adrian Mariappa,2013-10-20,1,2
Adrian Mutu,2003-08-17,1,1
Adrian Mutu,2003-08-24,1,2
Adrian Mutu,2003-09-07,2,4
Adrian Mutu,2003-10-26,1,5
Adrian Mutu,2004-01-11,1,6
Adrian Paz,1994-10-23,1,1
Adrian Whitbread,1994-01-16,1,1
Afonso Alves,2008-04-06,2,2
Afonso Alves,2008-04-20,1,3
Afonso Alves,2008-05-11,3,6
Afonso Alves,2008-08-24,1,7
Afonso Alves,2008-10-19,1,8
Afonso Alves,2008-10-26,1,9
Afonso Alves,2009-01-04,1,10
Ahmed Elmohamady,2011-09-25,1,1
Ahmed Elmohamady,2013-09-15,1,2
Ahmed Elmohamady,2013-12-22,1,3
Ahmed Elmohamady,2014-12-28,1,4
Ahmed Elmohamady,2015-03-22,1,5
Ahmed Hegazi,2017-08-06,1,1
Ahmed Hegazi,2018-01-28,1,2
Ahmed Musa,2016-10-16,1,1
Ahmed Musa,2016-10-23,1,2
Aidan Newhouse,1992-09-27,1,1
Aiden McGeady,2014-08-10,1,1
Aki Riihilahti,2004-10-03,1,1
Aki Riihilahti,2004-10-31,1,2
Aki Riihilahti,2005-01-30,1,3
Aki Riihilahti,2005-03-13,1,4
Akos Buzsaky,2012-01-15,1,1
Akos Buzsaky,2012-04-08,1,2
Alain Goma,2000-10-15,1,1
Alan Cork,1992-08-16,1,1
Alan Cork,1992-11-15,1,2
Alan Cork,1993-08-15,1,3
Alan Cork,1994-02-20,1,4
Alan Cork,1994-05-01,1,5
Alan Hutton,2010-09-12,1,1
Alan Hutton,2010-10-31,1,2
Alan Hutton,2014-12-07,1,3
Alan Kernaghan,1992-08-30,1,1
Alan Kernaghan,1992-09-13,1,2
Alan Kernaghan,1995-01-29,1,3
Alan Mahon,2001-08-19,1,1
Alan Mahon,2005-10-16,1,2
Alan McDonald,1993-09-26,1,1
Alan McDonald,1995-03-05,1,2
Alan McDonald,1995-11-26,1,3
Alan Quinn,2000-02-27,1,1
Alan Quinn,2000-05-07,1,2
Alan Quinn,2000-05-14,1,3
Alan Reeves,1994-09-18,1,1
Alan Reeves,1995-01-08,1,2
Alan Reeves,1995-03-05,1,3
Alan Reeves,1995-09-17,1,4
Alan Rogers,1999-01-31,1,1
Alan Rogers,1999-03-07,1,2
Alan Rogers,1999-03-28,1,3
Alan Rogers,1999-04-25,1,4
Alan Shearer,1992-08-09,2,2
Alan Shearer,1992-08-16,1,3
Alan Shearer,1992-08-23,1,4
Alan Shearer,1992-08-30,2,6
Alan Shearer,1992-09-13,3,9
Alan Shearer,1992-09-20,1,10
Alan Shearer,1992-09-27,2,12
Alan Shearer,1992-11-22,1,13
Alan Shearer,1992-12-13,1,14
Alan Shearer,1992-12-20,2,16
Alan Shearer,1993-08-29,1,17
Alan Shearer,1993-09-19,1,18
Alan Shearer,1993-09-26,2,20
Alan Shearer,1993-10-17,3,23
Alan Shearer,1993-10-24,1,24
Alan Shearer,1993-11-14,2,26
Alan Shearer,1993-11-21,2,28
Alan Shearer,1993-12-05,3,31
Alan Shearer,1993-12-12,1,32
Alan Shearer,1993-12-26,3,35
Alan Shearer,1994-01-09,2,37
Alan Shearer,1994-01-23,2,39
Alan Shearer,1994-01-30,1,40
Alan Shearer,1994-02-06,1,41
Alan Shearer,1994-03-20,2,43
Alan Shearer,1994-03-27,2,45
Alan Shearer,1994-04-10,1,46
Alan Shearer,1994-04-24,1,47
Alan Shearer,1994-08-14,1,48
Alan Shearer,1994-08-21,1,49
Alan Shearer,1994-09-04,2,51
Alan Shearer,1994-09-18,2,53
Alan Shearer,1994-10-09,1,54
Alan Shearer,1994-10-30,2,56
Alan Shearer,1994-11-13,1,57
Alan Shearer,1994-11-20,3,60
Alan Shearer,1994-11-27,1,61
Alan Shearer,1994-12-04,2,63
Alan Shearer,1994-12-25,1,64
Alan Shearer,1995-01-01,3,67
Alan Shearer,1995-01-22,3,70
Alan Shearer,1995-01-29,1,71
Alan Shearer,1995-02-12,1,72
Alan Shearer,1995-02-19,1,73
Alan Shearer,1995-03-05,3,76
Alan Shearer,1995-03-12,1,77
Alan Shearer,1995-03-26,1,78
Alan Shearer,1995-04-16,1,79
Alan Shearer,1995-05-07,1,80
Alan Shearer,1995-05-14,1,81
Alan Shearer,1995-08-13,1,82
Alan Shearer,1995-08-20,1,83
Alan Shearer,1995-08-27,1,84
Alan Shearer,1995-09-03,1,85
Alan Shearer,1995-09-17,3,88
Alan Shearer,1995-10-08,1,89
Alan Shearer,1995-10-15,1,90
Alan Shearer,1995-10-22,1,91
Alan Shearer,1995-11-12,3,94
Alan Shearer,1995-11-26,3,97
Alan Shearer,1995-12-10,1,98
Alan Shearer,1995-12-24,2,100
Alan Shearer,1996-01-07,1,101
Alan Shearer,1996-01-14,1,102
Alan Shearer,1996-01-28,3,105
Alan Shearer,1996-02-25,1,106
Alan Shearer,1996-03-10,3,109
Alan Shearer,1996-04-07,1,110
Alan Shearer,1996-04-14,2,112
Alan Shearer,1996-08-18,2,114
Alan Shearer,1996-09-08,1,115
Alan Shearer,1996-09-15,1,116
Alan Shearer,1996-09-29,1,117
Alan Shearer,1996-10-06,1,118
Alan Shearer,1996-10-20,1,119
Alan Shearer,1996-11-17,1,120
Alan Shearer,1996-11-24,1,121
Alan Shearer,1996-12-15,1,122
Alan Shearer,1996-12-22,3,125
Alan Shearer,1996-12-29,2,127
Alan Shearer,1997-01-05,1,128
Alan Shearer,1997-01-26,1,129
Alan Shearer,1997-02-02,3,132
Alan Shearer,1997-03-30,1,133
Alan Shearer,1997-04-13,3,136
Alan Shearer,1997-05-11,1,137
Alan Shearer,1998-03-15,1,138
Alan Shearer,1998-04-12,1,139
Alan Shearer,1998-09-06,2,141
Alan Shearer,1998-09-13,2,143
Alan Shearer,1998-09-20,2,145
Alan Shearer,1999-01-24,1,146
Alan Shearer,1999-02-14,2,148
Alan Shearer,1999-03-07,1,149
Alan Shearer,1999-04-11,1,150
Alan Shearer,1999-04-18,2,152
Alan Shearer,1999-04-25,1,153
Alan Shearer,1999-08-15,1,154
Alan Shearer,1999-09-19,7,161
Alan Shearer,1999-10-03,2,163
Alan Shearer,1999-10-24,1,164
Alan Shearer,1999-11-07,1,165
Alan Shearer,1999-12-26,2,167
Alan Shearer,2000-02-06,2,169
Alan Shearer,2000-02-20,1,170
Alan Shearer,2000-03-19,1,171
Alan Shearer,2000-03-26,1,172
Alan Shearer,2000-04-23,3,175
Alan Shearer,2000-05-14,1,176
Alan Shearer,2000-09-03,1,177
Alan Shearer,2000-09-24,1,178
Alan Shearer,2000-10-15,1,179
Alan Shearer,2000-10-29,2,181
Alan Shearer,2001-09-02,2,183
Alan Shearer,2001-10-07,1,184
Alan Shearer,2001-10-28,1,185
Alan Shearer,2001-11-18,1,186
Alan Shearer,2001-12-16,2,188
Alan Shearer,2001-12-23,2,190
Alan Shearer,2001-12-30,1,191
Alan Shearer,2002-01-27,3,194
Alan Shearer,2002-02-03,2,196
Alan Shearer,2002-03-10,1,197
Alan Shearer,2002-03-24,1,198
Alan Shearer,2002-03-31,1,199
Alan Shearer,2002-04-14,1,200
Alan Shearer,2002-04-21,3,203
Alan Shearer,2002-05-05,1,204
Alan Shearer,2002-08-18,1,205
Alan Shearer,2002-09-01,1,206
Alan Shearer,2002-09-15,1,207
Alan Shearer,2002-09-29,2,209
Alan Shearer,2002-10-13,2,211
Alan Shearer,2002-11-17,1,212
Alan Shearer,2002-12-01,2,214
Alan Shearer,2002-12-22,2,216
Alan Shearer,2002-12-29,1,217
Alan Shearer,2003-01-12,1,218
Alan Shearer,2003-02-16,1,219
Alan Shearer,2003-03-09,1,220
Alan Shearer,2003-04-13,1,221
Alan Shearer,2003-08-17,3,224
Alan Shearer,2003-09-07,2,226
Alan Shearer,2003-09-28,1,227
Alan Shearer,2003-10-19,3,230
Alan Shearer,2003-11-16,2,232
Alan Shearer,2003-11-23,1,233
Alan Shearer,2003-11-30,1,234
Alan Shearer,2003-12-07,2,236
Alan Shearer,2004-01-04,1,237
Alan Shearer,2004-02-15,1,238
Alan Shearer,2004-03-14,2,240
Alan Shearer,2004-03-28,2,242
Alan Shearer,2004-04-25,1,243
Alan Shearer,2004-08-08,1,244
Alan Shearer,2004-09-05,1,245
Alan Shearer,2004-09-19,1,246
Alan Shearer,2004-10-24,1,247
Alan Shearer,2004-11-14,1,248
Alan Shearer,2005-01-09,1,249
Alan Shearer,2005-01-30,1,250
Alan Shearer,2005-09-18,1,251
Alan Shearer,2005-10-30,1,252
Alan Shearer,2005-11-27,1,253
Alan Shearer,2005-12-11,1,254
Alan Shearer,2006-01-29,1,255
Alan Shearer,2006-02-26,1,256
Alan Shearer,2006-03-26,1,257
Alan Shearer,2006-04-09,2,259
Alan Shearer,2006-04-16,1,260
Alan Smith,1992-10-11,1,1
Alan Smith,1992-11-01,1,2
Alan Smith,1993-04-04,1,3
Alan Smith,1993-11-14,1,4
Alan Smith,1993-11-21,1,5
Alan Smith,1994-03-27,1,6
Alan Smith,1994-08-14,1,7
Alan Smith,1994-10-02,1,8
Alan Smith,1994-12-11,1,9
Alan Smith,1998-11-08,1,10
Alan Smith,1998-11-15,1,11
Alan Smith,1999-01-10,1,12
Alan Smith,1999-02-28,1,13
Alan Smith,1999-03-07,1,14
Alan Smith,1999-03-28,1,15
Alan Smith,1999-04-25,1,16
Alan Smith,1999-08-22,1,17
Alan Smith,1999-10-10,2,19
Alan Smith,1999-11-14,1,20
Alan Smith,2000-08-13,2,22
Alan Smith,2000-08-20,1,23
Alan Smith,2000-09-24,2,25
Alan Smith,2000-10-08,1,26
Alan Smith,2001-03-11,1,27
Alan Smith,2001-03-25,1,28
Alan Smith,2001-05-13,3,31
Alan Smith,2001-08-12,1,32
Alan Smith,2001-11-25,1,33
Alan Smith,2002-01-06,1,34
Alan Smith,2002-05-05,1,35
Alan Smith,2002-09-08,1,36
Alan Smith,2002-11-17,1,37
Alan Smith,2003-04-20,1,38
Alan Smith,2003-08-17,2,40
Alan Smith,2003-10-19,1,41
Alan Smith,2003-10-26,1,42
Alan Smith,2003-11-02,1,43
Alan Smith,2004-02-08,1,44
Alan Smith,2004-02-15,1,45
Alan Smith,2004-04-04,1,46
Alan Smith,2004-05-02,1,47
Alan Smith,2004-08-15,1,48
Alan Smith,2004-08-22,1,49
Alan Smith,2004-10-03,1,50
Alan Smith,2004-12-12,2,52
Alan Smith,2005-05-01,1,53
Alan Smith,2005-11-13,1,54
Alan Stubbs,1995-08-20,1,1
Alan Stubbs,1996-03-10,2,3
Alan Stubbs,1996-03-17,1,4
Alan Stubbs,2001-10-28,1,5
Alan Stubbs,2002-03-17,1,6
Alan Stubbs,2005-01-02,1,7
Alan Stubbs,2005-10-30,1,8
Alan Stubbs,2007-04-01,1,9
Alan Stubbs,2007-04-22,1,10
Alan Stubbs,2007-08-12,1,11
Alan Thompson,1995-08-13,1,1
Alan Thompson,1997-09-07,1,2
Alan Thompson,1997-09-21,1,3
Alan Thompson,1997-12-14,1,4
Alan Thompson,1998-03-01,1,5
Alan Thompson,1998-03-08,1,6
Alan Thompson,1998-03-22,2,8
Alan Thompson,1998-04-12,1,9
Alan Thompson,1998-04-26,1,10
Alan Thompson,1998-08-23,1,11
Alan Thompson,1999-03-07,1,12
Alan Thompson,2000-04-02,1,13
Alan Thompson,2000-04-16,1,14
Alan Wright,1995-12-31,1,1
Alan Wright,1996-01-28,1,2
Alan Wright,1997-04-06,1,3
Alan Wright,2000-04-09,1,4
Alan Wright,2000-09-24,1,5
Albert Crusat,2011-11-13,1,1
Albert Riera,2006-01-29,1,1
Albert Riera,2008-10-12,1,2
Albert Riera,2008-12-21,1,3
Albert Riera,2009-03-22,1,4
Alberto Aquilani,2010-03-14,1,1
Alberto Moreno,2014-08-31,1,1
Alberto Moreno,2014-12-28,1,2
Alberto Moreno,2016-04-10,1,3
Alberto Paloschi,2016-02-28,1,1
Alberto Paloschi,2016-03-27,1,2
Alejandro Faurlin,2011-09-11,1,1
Aleksandar Kolarov,2011-01-30,1,1
Aleksandar Kolarov,2011-10-23,1,2
Aleksandar Kolarov,2012-03-25,1,3
Aleksandar Kolarov,2012-09-30,1,4
Aleksandar Kolarov,2013-12-29,1,5
Aleksandar Kolarov,2015-04-19,1,6
Aleksandar Kolarov,2015-05-10,1,7
Aleksandar Kolarov,2015-08-23,1,8
Aleksandar Kolarov,2015-11-22,1,9
Aleksandar Kolarov,2016-03-27,1,10
Aleksandar Kolarov,2016-12-04,1,11
Aleksandar Mitrović,2015-09-27,1,1
Aleksandar Mitrović,2015-10-18,1,2
Aleksandar Mitrović,2015-12-13,1,3
Aleksandar Mitrović,2016-01-10,1,4
Aleksandar Mitrović,2016-01-31,1,5
Aleksandar Mitrović,2016-03-20,1,6
Aleksandar Mitrović,2016-03-27,2,8
Aleksandar Mitrović,2016-05-15,1,9
Aleksandar Mitrović,2017-08-20,1,10
Aleksandr Hleb,2006-01-08,1,1
Aleksandr Hleb,2006-03-12,1,2
Aleksandr Hleb,2006-04-09,1,3
Aleksandr Hleb,2006-10-22,1,4
Aleksandr Hleb,2006-12-17,1,5
Aleksandr Hleb,2007-08-12,1,6
Aleksandr Hleb,2007-11-11,1,7
Aleksandr Hleb,2011-01-02,1,8
Alen Boksic,2000-08-13,2,2
Alen Boksic,2000-09-03,1,3
Alen Boksic,2000-09-24,2,5
Alen Boksic,2000-12-24,1,6
Alen Boksic,2000-12-31,1,7
Alen Boksic,2001-01-07,2,9
Alen Boksic,2001-03-11,2,11
Alen Boksic,2001-04-15,1,12
Alen Boksic,2001-09-23,2,14
Alen Boksic,2001-10-21,2,16
Alen Boksic,2001-10-28,1,17
Alen Boksic,2001-11-25,1,18
Alen Boksic,2002-02-17,1,19
Alen Boksic,2002-03-17,1,20
Alen Boksic,2002-11-17,1,21
Alen Boksic,2002-12-22,1,22
Alessandro Diamanti,2009-09-13,1,1
Alessandro Diamanti,2009-10-25,1,2
Alessandro Diamanti,2009-12-13,1,3
Alessandro Diamanti,2009-12-20,2,5
Alessandro Diamanti,2010-02-07,1,6
Alessandro Diamanti,2010-02-28,1,7
Alessandro Pistone,2000-04-30,1,1
Alessandro Pistone,2002-03-31,1,2
Alex,2007-10-14,1,1
Alex,2007-12-23,1,2
Alex,2008-10-26,1,3
Alex,2009-05-10,1,4
Alex,2010-03-07,1,5
Alex,2010-10-03,1,6
Alex,2011-05-15,1,7
Alex Baptiste,2010-08-08,1,1
Alex Baptiste,2011-01-30,1,2
Alex Iwobi,2016-03-13,1,1
Alex Iwobi,2016-03-27,1,2
Alex Iwobi,2016-12-04,1,3
Alex Iwobi,2017-01-01,1,4
Alex Iwobi,2017-01-29,1,5
Alex Iwobi,2017-10-01,1,6
Alex Iwobi,2018-01-14,1,7
Alex Iwobi,2018-05-06,1,8
Alex Kacaniklic,2012-08-12,1,1
Alex Kacaniklic,2012-11-04,1,2
Alex Kacaniklic,2012-12-30,1,3
Alex Kacaniklic,2013-05-19,1,4
Alex Kacaniklic,2013-10-27,1,5
Alex Mathie,1993-09-12,1,1
Alex Mathie,1994-02-20,1,2
Alex Mathie,1994-03-13,1,3
Alex Mathie,1994-08-28,1,4
Alex Mathie,1995-02-19,1,5
Alex Mathie,1995-05-14,1,6
Alex Nyarko,2000-09-03,1,1
Alex Oxlade-Chamberlain,2012-01-29,2,2
Alex Oxlade-Chamberlain,2012-12-23,1,3
Alex Oxlade-Chamberlain,2014-02-02,2,5
Alex Oxlade-Chamberlain,2014-09-21,1,6
Alex Oxlade-Chamberlain,2016-02-07,1,7
Alex Oxlade-Chamberlain,2016-08-14,1,8
Alex Oxlade-Chamberlain,2016-11-27,1,9
Alex Oxlade-Chamberlain,2017-10-29,1,10
Alex Oxlade-Chamberlain,2017-12-24,1,11
Alex Oxlade-Chamberlain,2018-01-14,1,12
Alex Pritchard,2018-02-11,1,1
Alex Rae,1996-10-13,1,1
Alex Rae,1997-03-16,1,2
Alex Rae,1999-09-26,1,3
Alex Rae,2000-02-06,1,4
Alex Rae,2000-02-20,1,5
Alex Rae,2000-11-19,1,6
Alex Rae,2000-12-03,1,7
Alex Rae,2003-09-21,1,8
Alex Rae,2003-10-19,1,9
Alex Rae,2003-11-30,1,10
Alex Rae,2003-12-14,1,11
Alex Rae,2004-01-04,1,12
Alex Song,2009-04-05,1,1
Alex Song,2009-12-27,1,2
Alex Song,2010-09-05,1,3
Alex Song,2010-10-24,2,5
Alex Song,2010-12-26,1,6
Alex Song,2011-09-18,1,7
Alex Tettey,2014-03-16,1,1
Alex Tettey,2015-12-13,1,2
Alex Tettey,2015-12-27,1,3
Alexander Buttner,2012-09-09,1,1
Alexander Buttner,2013-05-19,1,2
Alexandre Lacazette,2017-08-06,1,1
Alexandre Lacazette,2017-09-03,1,2
Alexandre Lacazette,2017-09-24,2,4
Alexandre Lacazette,2017-10-22,1,5
Alexandre Lacazette,2017-11-05,1,6
Alexandre Lacazette,2017-11-26,2,8
Alexandre Lacazette,2018-01-14,1,9
Alexandre Lacazette,2018-04-01,1,10
Alexandre Lacazette,2018-04-15,1,11
Alexandre Lacazette,2018-04-22,2,13
Alexandre Lacazette,2018-05-06,1,14
Alexandre Pato,2016-03-27,1,1
Alexis Sánchez,2014-08-31,1,1
Alexis Sánchez,2014-09-07,1,2
Alexis Sánchez,2014-10-12,1,3
Alexis Sánchez,2014-10-19,2,5
Alexis Sánchez,2014-10-26,2,7
Alexis Sánchez,2014-11-09,1,8
Alexis Sánchez,2014-11-30,1,9
Alexis Sánchez,2014-12-21,1,10
Alexis Sánchez,2015-01-11,2,12
Alexis Sánchez,2015-03-01,1,13
Alexis Sánchez,2015-03-29,1,14
Alexis Sánchez,2015-05-03,2,16
Alexis Sánchez,2015-09-20,3,19
Alexis Sánchez,2015-10-04,2,21
Alexis Sánchez,2015-10-11,1,22
Alexis Sánchez,2016-02-28,1,23
Alexis Sánchez,2016-03-27,1,24
Alexis Sánchez,2016-04-03,1,25
Alexis Sánchez,2016-04-17,3,28
Alexis Sánchez,2016-05-08,1,29
Alexis Sánchez,2016-08-21,1,30
Alexis Sánchez,2016-09-11,2,32
Alexis Sánchez,2016-09-18,1,33
Alexis Sánchez,2016-10-23,2,35
Alexis Sánchez,2016-11-27,5,40
Alexis Sánchez,2016-12-11,1,41
Alexis Sánchez,2017-01-01,1,42
Alexis Sánchez,2017-01-08,1,43
Alexis Sánchez,2017-01-22,1,44
Alexis Sánchez,2017-02-05,2,46
Alexis Sánchez,2017-03-12,1,47
Alexis Sánchez,2017-04-16,1,48
Alexis Sánchez,2017-05-07,2,50
Alexis Sánchez,2017-05-14,2,52
Alexis Sánchez,2017-05-21,1,53
Alexis Sánchez,2017-10-22,1,54
Alexis Sánchez,2017-11-12,1,55
Alexis Sánchez,2017-11-26,2,57
Alexis Sánchez,2017-12-17,1,58
Alexis Sánchez,2017-12-24,2,60
Alexis Sánchez,2018-01-28,1,61
Alexis Sánchez,2018-03-25,1,62
Alfe-Inge Haaland,1994-12-04,1,1
